TITLE,ID,URL,Topic 1,Topic 1 FIT,Topic 2,Topic 2 FIT,Assign Final T£,Topic 3 FIT
Use of creative practice and research to change perceptions of writing and motherhood,63eaae86-37b7-4b11-9800-7c064271a124,https://results2021.ref.ac.uk/impact/63eaae86-37b7-4b11-9800-7c064271a124,87,4,88,3,101,2
Using Creative Writing To Support Social Justice,4df8dd97-da89-4c31-8626-18d683a07718,https://results2021.ref.ac.uk/impact/4df8dd97-da89-4c31-8626-18d683a07718,87,4,117,3,,
"The Poetry of Place: Enhancing Understanding, Stimulating Creativity, Improving Access",484417cb-a291-42bd-b9fe-8ca8746e195d,https://results2021.ref.ac.uk/impact/484417cb-a291-42bd-b9fe-8ca8746e195d,87,4,91,3,,
Poetry as a Driver of Business Innovation: Westpark Residential Development,866ec083-1b86-482b-9b77-4fc3a4004d78,https://results2021.ref.ac.uk/impact/866ec083-1b86-482b-9b77-4fc3a4004d78,87,4,115,3,88,3
Discovering Ted Hughes’s Yorkshire,3b6050dc-a186-4475-80a4-8ad4e5652ea0,https://results2021.ref.ac.uk/impact/3b6050dc-a186-4475-80a4-8ad4e5652ea0,87,4,91,3,,
A New International Standard for Editing Literary-Historical Manuscripts,6ee45471-fb24-4d7d-a678-779fa2b16760,https://results2021.ref.ac.uk/impact/6ee45471-fb24-4d7d-a678-779fa2b16760,87,4,90,3,,
Facilitating Cultural Production and Enhancing Public Understanding through the Works of Henry James,939a0d6e-a06a-4c44-bc52-550e6ee1c265,https://results2021.ref.ac.uk/impact/939a0d6e-a06a-4c44-bc52-550e6ee1c265,87,4,85,3,,
"Enriching the Experience of Ulster-Scots Literature through Public Outreach, Broadcasting and Digital Preservation.",ff923b74-0d3b-4984-a2d5-0976908d7104,https://results2021.ref.ac.uk/impact/ff923b74-0d3b-4984-a2d5-0976908d7104,87,4,85,3,,
"Maximising the economic and cultural value of Robert Burns for Scotland through government consultancy, public engagement and authentication/provenance work",ae6b6774-31b5-4d30-91d4-78f58337bf60,https://results2021.ref.ac.uk/impact/ae6b6774-31b5-4d30-91d4-78f58337bf60,87,4,85,3,90,2
Widening Access to Literature by Providing New Insights into the Lives of Writers,91971298-7ea2-4b4e-a8a4-9fa82cfe627a,https://results2021.ref.ac.uk/impact/91971298-7ea2-4b4e-a8a4-9fa82cfe627a,87,4,85,3,,
ICS3: Re-Placing Malcolm Lowry: Exploring the Cultural Significance of Place and Identity in and through Lowry’s Life and Work,222de4f4-418d-4aba-8399-393fbcaf025a,https://results2021.ref.ac.uk/impact/222de4f4-418d-4aba-8399-393fbcaf025a,87,4,91,2,,
The Newcastle Centre for the Literary Arts and the Devolution of British Poetry,3a9fb1ab-fa51-424b-9476-00b58531ba7b,https://results2021.ref.ac.uk/impact/3a9fb1ab-fa51-424b-9476-00b58531ba7b,87,4,85,3,91,2
Viddying with Fresh Glazzies': Promoting New Public and Creative Engagement with the Cultural Legacy of Anthony Burgess,b7958a23-3344-4f39-9af1-d286fbe5a32d,https://results2021.ref.ac.uk/impact/b7958a23-3344-4f39-9af1-d286fbe5a32d,87,4,83,2,85,2
The reception of the work of William Blake - His influence and significance today,ed4ad743-9e37-4d4e-98ff-31b1ed0356dd,https://results2021.ref.ac.uk/impact/ed4ad743-9e37-4d4e-98ff-31b1ed0356dd,87,4,85,4,,
"Celebrating W.S. Graham at 100: New Audiences, New Networks, New Artworks",1e5f0612-aef2-4373-985b-019d76560abc,https://results2021.ref.ac.uk/impact/1e5f0612-aef2-4373-985b-019d76560abc,87,4,84,3,85,2
Advancing the status of comics as a cultural and educational asset,c16206c9-225e-4e54-9212-8d9f48b505dc,https://results2021.ref.ac.uk/impact/c16206c9-225e-4e54-9212-8d9f48b505dc,87,4,86,3,99,2
Strengthening practices for public education and engagement with medieval language and literature at the Chaucer Heritage Trust and the National Archives,797eec05-d77d-4e0b-a629-f38c18497298,https://results2021.ref.ac.uk/impact/797eec05-d77d-4e0b-a629-f38c18497298,87,4,99,3,85,3
Reframing Medieval Texts for Contemporary Audiences,e7bbdf4d-86cb-4167-be2b-f33f5acc8d14,https://results2021.ref.ac.uk/impact/e7bbdf4d-86cb-4167-be2b-f33f5acc8d14,87,4,91,3,85,2
"Noirwich: Advancing the Practice, Pedagogy, and Perception of Crime Writing",82a13625-60d3-4230-9318-abf264efb3ea,https://results2021.ref.ac.uk/impact/82a13625-60d3-4230-9318-abf264efb3ea,87,4,99,2,,
Accessing Literature: widening cultural participation and improving mental health awareness through theatre and poetry,7d9b7b53-1e72-4514-8fba-8189e500f85c,https://results2021.ref.ac.uk/impact/7d9b7b53-1e72-4514-8fba-8189e500f85c,87,4,88,3,136,2
"Changing Drug Policy and Practice to Decriminalise Possession and Prevent Deaths in the UK, Ireland, and Norway",9d66a0cf-497f-4381-88f3-137f3fb0f36a,https://results2021.ref.ac.uk/impact/9d66a0cf-497f-4381-88f3-137f3fb0f36a,33,4,,,,
Development of ground truth datasets of controlled substances to understand Global drug use,933182f6-de7f-40bc-9e17-ded824b00267,https://results2021.ref.ac.uk/impact/933182f6-de7f-40bc-9e17-ded824b00267,33,4,,,,
From ‘Legal’ to ‘Illegal’: Neuroscience research on novel psychoactive drugs (‘legal highs’) has influenced drug policy and practice,4e915384-e2e2-4377-82fa-5a52d6f5a115,https://results2021.ref.ac.uk/impact/4e915384-e2e2-4377-82fa-5a52d6f5a115,33,4,,,,
ICS2: Anabolic androgenic steroid and associated image and performance enhancing drug (IPED) misuse: an emerging public health issue,f06bfc3a-ac6a-4d47-bd08-f5bec0761efe,https://results2021.ref.ac.uk/impact/f06bfc3a-ac6a-4d47-bd08-f5bec0761efe,33,4,,,,
ICS6: Implementing multidisciplinary research to facilitate international drug control and protection of global public health,c5d12a01-9557-4397-9cb3-4fb17ac3e86b,https://results2021.ref.ac.uk/impact/c5d12a01-9557-4397-9cb3-4fb17ac3e86b,33,4,,,,
Improving Road Safety by Supporting New Drink- and Drug-Driving Legislation in England and Wales,03ba2f06-b742-4c30-91ae-7d7ebcb5cca7,https://results2021.ref.ac.uk/impact/03ba2f06-b742-4c30-91ae-7d7ebcb5cca7,33,4,56,4,,
"Interdisciplinary research at the heart of Greater Manchester’s cross-sectoral, nationally commended response to New Psychoactive Substances",007c7fe7-a981-431a-910c-fc6b3d8c4b46,https://results2021.ref.ac.uk/impact/007c7fe7-a981-431a-910c-fc6b3d8c4b46,33,4,29,,,
"Novel Psychoactive Substances: changing legislation, regulation, clinical practice and drug prevention strategies to protect public health",fb323a20-6e2a-4a04-8ae2-a6b9d7cd7130,https://results2021.ref.ac.uk/impact/fb323a20-6e2a-4a04-8ae2-a6b9d7cd7130,33,4,11,3,,
"Reducing the harms associated with Novel Psychoactive Substances: informing policy, improving practice, and raising public and professional knowledge and understanding",eb5bf161-b67f-4d2a-a673-322c6dcaa6ef,https://results2021.ref.ac.uk/impact/eb5bf161-b67f-4d2a-a673-322c6dcaa6ef,33,4,29,2,,
Supporting the Correct Identification of New Psychoactive Substances,468d9414-b8b7-4076-b19f-d6dbfc93ab6f,https://results2021.ref.ac.uk/impact/468d9414-b8b7-4076-b19f-d6dbfc93ab6f,33,4,119,2,,
Aberdeen research and policy engagement contributes to introduction of Minimum Unit Pricing for alcohol in Scotland,0c0036d0-5365-4e05-99c8-67464bcd7a00,https://results2021.ref.ac.uk/impact/0c0036d0-5365-4e05-99c8-67464bcd7a00,33,4,106,,,
Drug interventions for young people in contact with the criminal justice system: transforming practice among practitioners,c4d9eca7-852f-4af8-a85b-1225e0d08094,https://results2021.ref.ac.uk/impact/c4d9eca7-852f-4af8-a85b-1225e0d08094,33,4,101,3,119,2
Improving and developing care for people using substances: supporting professionals and marginalised communities.,62b1cd32-74c7-4fbb-9ce6-f8ebdc35c238,https://results2021.ref.ac.uk/impact/62b1cd32-74c7-4fbb-9ce6-f8ebdc35c238,33,4,32,2,,
Improving the lives of individuals at risk of Alcohol Related Brain Damage,45d2ef24-ee14-44b0-9330-69e3ec7a67f5,https://results2021.ref.ac.uk/impact/45d2ef24-ee14-44b0-9330-69e3ec7a67f5,33,4,8,4,,
Reshaping alcohol policy and practice to include older people,6f77a122-4d26-485f-82f8-e619bc2e3c30,https://results2021.ref.ac.uk/impact/6f77a122-4d26-485f-82f8-e619bc2e3c30,33,4,24,3,,
Informing and Influencing Alcohol Reduction Policy and Practice,f490c593-935b-41c0-940a-00be241c4bba,https://results2021.ref.ac.uk/impact/f490c593-935b-41c0-940a-00be241c4bba,33,4,29,2,,
Reducing alcohol-related harm through “Dry January”,5d668442-4e93-4c89-b921-47b84eaa5960,https://results2021.ref.ac.uk/impact/5d668442-4e93-4c89-b921-47b84eaa5960,33,4,,,,
Enhancing national responses to alcohol harms and shaping understanding of substance use behaviours internationally,838fb21b-834f-429e-8dec-1316705a6368,https://results2021.ref.ac.uk/impact/838fb21b-834f-429e-8dec-1316705a6368,33,4,,,,
Helping psychological therapists to support clients taking or withdrawing from prescribed psychiatric drugs,8e9219cf-59cd-468a-b0df-3be679ca79ae,https://results2021.ref.ac.uk/impact/8e9219cf-59cd-468a-b0df-3be679ca79ae,33,4,32,3,28,2
Transforming understanding of drug-related harms: assessing the influence of policy on risk environments and inequalities,1a51b549-76e4-4fc0-8fcb-a71d1a4b8505,https://results2021.ref.ac.uk/impact/1a51b549-76e4-4fc0-8fcb-a71d1a4b8505,33,4,,,,
Reducing harm and saving lives in situations of substance misuse,9d59a352-b266-4086-9a0d-e16a87cb47de,https://results2021.ref.ac.uk/impact/9d59a352-b266-4086-9a0d-e16a87cb47de,33,4,,,,
The potential of Contribution Analysis to alcohol and drug policy strategy evaluation,11bf5269-da7e-4277-a47a-48fe1a00ad81,https://results2021.ref.ac.uk/impact/11bf5269-da7e-4277-a47a-48fe1a00ad81,33,4,,,,
Take-home Naloxone: developing a nasal spray and making it widely available in the community to prevent deaths from heroin and other opioid overdose,b5376e41-5cdf-477b-8069-d574507817a1,https://results2021.ref.ac.uk/impact/b5376e41-5cdf-477b-8069-d574507817a1,33,4,37,2,16,
"Stimulating debate, changing practice and influencing policy in tackling drug-related deaths in the UK, Europe and USA",e2e11bfe-0c4b-41eb-9ca3-11518ada7bc1,https://results2021.ref.ac.uk/impact/e2e11bfe-0c4b-41eb-9ca3-11518ada7bc1,33,4,,,,
Changing government and international organizations’ approaches to the measurement of effectiveness in drug and crime control policy,5b1e1db8-6a57-40d4-aefd-59a1e88805e5,https://results2021.ref.ac.uk/impact/5b1e1db8-6a57-40d4-aefd-59a1e88805e5,33,4,119,2,,
New public health measures to reduce harm from excessive alcohol consumption,7a414ac4-e640-43a6-832c-5becf6a68bcb,https://results2021.ref.ac.uk/impact/7a414ac4-e640-43a6-832c-5becf6a68bcb,33,4,122,2,,
ICS1: Improving the quality of substance use prevention policy and practice in Europe,3f18afa8-e4d8-4402-83fe-d368d1f6d7ad,https://results2021.ref.ac.uk/impact/3f18afa8-e4d8-4402-83fe-d368d1f6d7ad,33,4,,,,
Critical dialogue in action: changing harmful cultural practices for young people in Scotland and Malawi.,085c7613-20a7-442f-a897-262dcbc3ac94,https://results2021.ref.ac.uk/impact/085c7613-20a7-442f-a897-262dcbc3ac94,33,3,101,3,,
Improved opium crop monitoring with applied remote sensing,dd2eba44-1e42-464e-89a3-7181d6f326dc,https://results2021.ref.ac.uk/impact/dd2eba44-1e42-464e-89a3-7181d6f326dc,33,3,44,2,119,2
Facilitating Access to Addiction Recovery Spirituality in a Secular World,75779af4-20d9-49b5-893a-a538ed9b68d5,https://results2021.ref.ac.uk/impact/75779af4-20d9-49b5-893a-a538ed9b68d5,33,4,132,3,,
Francophone Africa and the Equality Challenge: a digital humanities research and knowledge transfer project,d4fb3073-f530-4908-a4c3-f3b60d2b24de,https://results2021.ref.ac.uk/impact/d4fb3073-f530-4908-a4c3-f3b60d2b24de,136,3,99,3,,
‘Sweet Tooth’: animating the archive of slavery through movement and sound.,8683d219-0009-4ef5-94c6-394800b81094,https://results2021.ref.ac.uk/impact/8683d219-0009-4ef5-94c6-394800b81094,136,4,83,3,,
"Employing drama to transform the teaching, teacher education and public understanding of the transatlantic slave trade",c3c24d55-56b5-47d8-b933-eccdb947c1e1,https://results2021.ref.ac.uk/impact/c3c24d55-56b5-47d8-b933-eccdb947c1e1,136,4,83,3,99,3
"England’s Immigrants, 1330-1550: Enhancing the Teaching of Migration through History Resources for Schools and Teachers",2a954913-3225-48ef-8c36-ed0b63c721b1,https://results2021.ref.ac.uk/impact/2a954913-3225-48ef-8c36-ed0b63c721b1,136,3,99,3,133,2
"Is it wrong to topple statues and rename schools? Shaping institutional responses to contested heritage in Bristol, the UK, and internationally",8a25135f-4a0b-4ebe-92b1-fe5181d6797c,https://results2021.ref.ac.uk/impact/8a25135f-4a0b-4ebe-92b1-fe5181d6797c,136,4,99,3,,
Moving Beyond Slavery in Teaching West African History: Agency and Global Impact,c8ce743e-eb29-4705-aad4-d138efe7980c,https://results2021.ref.ac.uk/impact/c8ce743e-eb29-4705-aad4-d138efe7980c,136,4,99,3,,
Not just victims: Teaching Black history beyond slavery,c6d61577-479c-47fa-ad0b-b3fd5b996329,https://results2021.ref.ac.uk/impact/c6d61577-479c-47fa-ad0b-b3fd5b996329,136,4,,,,
Recovering and Returning Stolen Histories through digital archives: America’s campaign of educational genocide in Indian boarding schools,41e9da85-cc27-49b1-bf9a-01a8aaa5ccbe,https://results2021.ref.ac.uk/impact/41e9da85-cc27-49b1-bf9a-01a8aaa5ccbe,136,4,,,,
"Transforming Policies, Practices and Research Cultures among UK funders and cultural organisations to amplify the research with and for Black and Minority Ethnic communities and organisations.",fd3870ab-f3a7-4fc2-8faf-5ef11ccfaf9e,https://results2021.ref.ac.uk/impact/fd3870ab-f3a7-4fc2-8faf-5ef11ccfaf9e,136,4,,,,
War Babies of Black GIs and British Women: increasing a sense of belonging and engendering public awareness,9e9d1c3b-9e3c-4497-969e-107f4e86a39a,https://results2021.ref.ac.uk/impact/9e9d1c3b-9e3c-4497-969e-107f4e86a39a,136,4,,,,
"Poetry, Place and National Belonging: Expanding the Curriculum and Diversifying Cultural Institutions",e63bf5b5-a8e5-4f86-a0f0-77850fe0fd74,https://results2021.ref.ac.uk/impact/e63bf5b5-a8e5-4f86-a0f0-77850fe0fd74,136,4,87,3,,
Diversifying the Study of History in Britain,1cdd95d0-070a-4af9-9c1e-4489d060c037,https://results2021.ref.ac.uk/impact/1cdd95d0-070a-4af9-9c1e-4489d060c037,136,4,99,3,,
"Raising awareness of the legacies of British slave ownership: building new conversations to change practice and understanding in education, culture and society",dfd3c816-6616-4a20-8d4b-4d18fc155c18,https://results2021.ref.ac.uk/impact/dfd3c816-6616-4a20-8d4b-4d18fc155c18,136,4,,,,
Our bondage and our freedom: The Anna Murray and Frederick Douglass family and their intergenerational fight for social justice,3cf1160a-298f-4bdb-acba-4e5caf1623c5,https://results2021.ref.ac.uk/impact/3cf1160a-298f-4bdb-acba-4e5caf1623c5,136,4,,,,
History Lessons/Our Migration Story: creating an inclusive history curriculum,db053760-ecb7-4d75-960d-22cbcf2c3694,https://results2021.ref.ac.uk/impact/db053760-ecb7-4d75-960d-22cbcf2c3694,136,4,99,3,133,2
Transforming public understanding of the significance and legacy of slavery in Britain,ff1dc2cf-fe66-488b-bb32-253692601c8b,https://results2021.ref.ac.uk/impact/ff1dc2cf-fe66-488b-bb32-253692601c8b,136,4,,,,
"Martin Luther King in Newcastle: Improved Understanding and Engagement with the Commemoration of Regional Diversity, BAME History and Social Justice Traditions",dd2ae500-4ae7-40ac-ac39-2c619a2a9512,https://results2021.ref.ac.uk/impact/dd2ae500-4ae7-40ac-ac39-2c619a2a9512,136,4,,,,
Writing the Black Country: Changing perceptions and reimagining marginalised communities through cultural networking and public engagement,cf77bd33-0f62-493a-85dd-d145cd5aff16,https://results2021.ref.ac.uk/impact/cf77bd33-0f62-493a-85dd-d145cd5aff16,136,4,,,,
Mayflower 400: Decolonising cultural heritage and transforming narratives of remembering,eecf5e66-b237-4e7a-a277-48fe04855830,https://results2021.ref.ac.uk/impact/eecf5e66-b237-4e7a-a277-48fe04855830,136,4,,,,
Making Histories Visible,24f6c055-f2fe-478d-8392-b42c0b8be255,https://results2021.ref.ac.uk/impact/24f6c055-f2fe-478d-8392-b42c0b8be255,136,4,105,3,,
"British Sikhs: Enhancing Understanding, Inclusion, and Empowerment",a6068725-1bc6-4ebc-bcbf-2f66323bd396,https://results2021.ref.ac.uk/impact/a6068725-1bc6-4ebc-bcbf-2f66323bd396,136,2,132,,,
Romosexuality: sexuality and censorship,efb90e08-f13c-4fd0-ab6b-884ae7cd9850,https://results2021.ref.ac.uk/impact/efb90e08-f13c-4fd0-ab6b-884ae7cd9850,136,4,134,3,,
Revealing the identities of enslaved Africans through the preservation of rare and endangered manuscripts,4871ac01-46b1-4e9c-a4b5-13663e107fa5,https://results2021.ref.ac.uk/impact/4871ac01-46b1-4e9c-a4b5-13663e107fa5,136,4,,,,
"Identifying and promoting community owned solutions within marginalised communities, practitioners and policy",d0ae6bd6-ae3d-4ef9-856e-4a0b8fbe91f9,https://results2021.ref.ac.uk/impact/d0ae6bd6-ae3d-4ef9-856e-4a0b8fbe91f9,136,3,127,3,,
Institute for Black Atlantic Research (IBAR): Memorialising Slavery and Abolition for Black British and Other Audiences,e4ca595f-6057-4298-838f-b73653d65fcc,https://results2021.ref.ac.uk/impact/e4ca595f-6057-4298-838f-b73653d65fcc,136,4,,,,
Uncovering Black Artists: Britain's Hidden Art History,8b7e2a60-5cfe-4a07-92e6-b6e6c8bbc576,https://results2021.ref.ac.uk/impact/8b7e2a60-5cfe-4a07-92e6-b6e6c8bbc576,136,4,84,3,,
Let’s talk about race: Building resilience and agency within BAME communities through Caribbean art heritage in the UK,9d4df67b-664a-4348-9d4f-926e0fef5724,https://results2021.ref.ac.uk/impact/9d4df67b-664a-4348-9d4f-926e0fef5724,136,4,,,,
Strengthening Political Representation and Advocacy of the Roma Community in Slovenia,fd3e3a8d-0dd9-4fce-8cc8-8638bafce7c0,https://results2021.ref.ac.uk/impact/fd3e3a8d-0dd9-4fce-8cc8-8638bafce7c0,136,4,127,4,,
Improving Professional and Public Understandings of Life in Palestine,32341a4d-2473-4260-b28b-51a7daaba956,https://results2021.ref.ac.uk/impact/32341a4d-2473-4260-b28b-51a7daaba956,136,4,124,2,85,2
Endangered cultures and their vulnerability in a migration context,b6e70cdb-c4ea-4ce5-96a7-46c503303200,https://results2021.ref.ac.uk/impact/b6e70cdb-c4ea-4ce5-96a7-46c503303200,136,3,133,3,124,2
Legal and policy changes in Freedom of Religion or Belief in Pakistan and in the United Kingdom,8e61c592-8083-43d0-bddf-c261b3ad0ced,https://results2021.ref.ac.uk/impact/8e61c592-8083-43d0-bddf-c261b3ad0ced,136,3,132,3,,
"Sikh Radicalisation' in Diaspora: Reframing Policy, Influencing Media, Engaging Publics",f16ca238-8e02-4424-bbbe-fdbc993a0f54,https://results2021.ref.ac.uk/impact/f16ca238-8e02-4424-bbbe-fdbc993a0f54,136,3,123,2,,
Assisting the survival of endangered communities and cultures: Yezidis and Mandaeans,95621727-c73a-4bff-9489-bbfb2914ab0a,https://results2021.ref.ac.uk/impact/95621727-c73a-4bff-9489-bbfb2914ab0a,136,4,90,3,120,2
Empowering Marginalized Communities Through Literature and Partnership: Writing the Community,09f49471-744f-4a29-8e0a-d358df44a279,https://results2021.ref.ac.uk/impact/09f49471-744f-4a29-8e0a-d358df44a279,136,4,87,3,85,2
Fair benefits for use of San communities’ Traditional Knowledge under the UN Convention on Biodiversity,ca56e908-9c87-40ed-a928-458e1a20d511,https://results2021.ref.ac.uk/impact/ca56e908-9c87-40ed-a928-458e1a20d511,136,4,110,2,73,2
1. Empowering Marginalized Communities in Contemporary Northern Ireland,cc8c5369-343d-4238-ad8c-c94d5d6c4bd2,https://results2021.ref.ac.uk/impact/cc8c5369-343d-4238-ad8c-c94d5d6c4bd2,136,4,131,3,,
"Retrieving hidden colonial pasts to influence the present: Algiers, Casablanca and Paris (1919-2020)",6a8140e5-2148-474d-8fd3-8a30f2dd125f,https://results2021.ref.ac.uk/impact/6a8140e5-2148-474d-8fd3-8a30f2dd125f,136,4,85,2,,
"Making Visible the Invisible: Germany's Black Diaspora Community, 1884-1945",932ddc87-493d-4cd1-9e11-52f9c1c99236,https://results2021.ref.ac.uk/impact/932ddc87-493d-4cd1-9e11-52f9c1c99236,136,4,84,3,,
"Rethinking and democratising knowledge of the South African past, 1770s to 1970s and beyond",e54cc74a-64dc-48c5-94eb-7f92faaad382,https://results2021.ref.ac.uk/impact/e54cc74a-64dc-48c5-94eb-7f92faaad382,136,3,85,3,,
Tackling Caste Discrimination in the Diaspora,08c106eb-7d8d-4cb0-8bfd-83ddd636fd76,https://results2021.ref.ac.uk/impact/08c106eb-7d8d-4cb0-8bfd-83ddd636fd76,136,4,110,2,133,2
Using arts-based approaches to strengthen the resilience of displaced marginalised communities in Colombia,cb9e7d73-bea0-4c10-8c9b-69a5ffc0d484,https://results2021.ref.ac.uk/impact/cb9e7d73-bea0-4c10-8c9b-69a5ffc0d484,136,4,88,3,123,3
Multi-Media Histories: Reimagining Contested Cultural Heritage Across Multiple Media,ad0b01ec-6042-444c-b111-393066101615,https://results2021.ref.ac.uk/impact/ad0b01ec-6042-444c-b111-393066101615,136,4,86,3,84,2
Influencing government policy and social initiatives to promote social integration of ethnic minorities in England,5e918d8d-6735-42cc-9849-0eccd21c9b50,https://results2021.ref.ac.uk/impact/5e918d8d-6735-42cc-9849-0eccd21c9b50,136,4,130,2,,
"Gypsy, Roma and Traveller Health and Wellbeing – leveraging good practice and policy engagement to enhance social inclusion",e41fe848-34be-4f5a-8e71-774651bb9384,https://results2021.ref.ac.uk/impact/e41fe848-34be-4f5a-8e71-774651bb9384,136,4,38,3,133,2
"Influencing provision, policy making and police training in the UK and Europe to increase the profile of Gypsies, Travellers, and Roma .",b2fc9e08-4835-4113-9697-0b6b753daadf,https://results2021.ref.ac.uk/impact/b2fc9e08-4835-4113-9697-0b6b753daadf,136,4,119,3,115,2
Breaking the impasse on global reparations for Afrikan enslavement,3512eb23-5460-4b6c-8b9f-1d564c0437c2,https://results2021.ref.ac.uk/impact/3512eb23-5460-4b6c-8b9f-1d564c0437c2,136,3,124,3,,
Revealing East London’s Immigrant History through Literature,f6974b91-4c0c-474b-82c2-66d57c9d0451,https://results2021.ref.ac.uk/impact/f6974b91-4c0c-474b-82c2-66d57c9d0451,136,4,91,3,87,2
Wales and Atlantic Slavery: redressing historical amnesia,326665ac-cfd0-4641-8132-f3674f184e3a,https://results2021.ref.ac.uk/impact/326665ac-cfd0-4641-8132-f3674f184e3a,136,4,85,3,84,2
"The Atlantic slave trade: enhancing heritage, public understanding and learning",62af17f9-4d11-425a-93be-7356c4614e8a,https://results2021.ref.ac.uk/impact/62af17f9-4d11-425a-93be-7356c4614e8a,136,4,90,3,91,2
Using the Past to Reaffirm Indigenous Identity in Present-Day Mexico,e650b42d-7d7f-4016-ab3d-a1a9b1eb4a6d,https://results2021.ref.ac.uk/impact/e650b42d-7d7f-4016-ab3d-a1a9b1eb4a6d,136,4,85,2,120,2
"Building Bridges: Working between the UK and India to repatriate colonial archives and develop new knowledge, audiences and curricula",5b4bd243-6d2c-42b5-877f-e4ecb1dfd644,https://results2021.ref.ac.uk/impact/5b4bd243-6d2c-42b5-877f-e4ecb1dfd644,136,4,92,3,90,3
Empowering Indigenous Self-Representation for the Emberá People of Panama,d8915ef7-a3a8-4334-b383-518f9661db4f,https://results2021.ref.ac.uk/impact/d8915ef7-a3a8-4334-b383-518f9661db4f,136,4,120,3,90,2
"Enhanced Visibility of Marginalised Perspectives and Non-pecuniary Values regarding Land, ‘Nature’ and ‘Natural Capital’",6feee7ff-5112-428d-bd18-20cc7c7cbe23,https://results2021.ref.ac.uk/impact/6feee7ff-5112-428d-bd18-20cc7c7cbe23,136,4,89,3,,
"The Legacies of Empire: Changing Public and Practitioners’ Understandings of Globalization, Culture and Identity",04d1cb2e-cdca-4ed7-9d6e-15c471878e50,https://results2021.ref.ac.uk/impact/04d1cb2e-cdca-4ed7-9d6e-15c471878e50,136,4,136,3,92,2
Enabling and empowering marginalised Cuban communities to define and develop their cultural identity,876780cd-fc26-467b-96bb-9e4673f99757,https://results2021.ref.ac.uk/impact/876780cd-fc26-467b-96bb-9e4673f99757,136,4,85,3,90,2
"Using participatory theatre and media production to empower and transform marginalised communities in Jinja, Uganda",3cb84e5b-3542-4a47-8448-042e5eff6d14,https://results2021.ref.ac.uk/impact/3cb84e5b-3542-4a47-8448-042e5eff6d14,136,4,83,3,85,2
Applying novel measurement of hair and saliva biomarkers to behavioural change,e1df9d62-3777-4ef4-9a2c-6282c0f2b639,https://results2021.ref.ac.uk/impact/e1df9d62-3777-4ef4-9a2c-6282c0f2b639,30,3,32,2,,
A solution to staff rostering problems in hospitals by means of a ‘fair’ algorithm,99501bc0-8a9e-49e6-bdbb-ccceb9370f38,https://results2021.ref.ac.uk/impact/99501bc0-8a9e-49e6-bdbb-ccceb9370f38,30,4,28,4,,
Enabling Health and Social Care Organisations to Deliver More Efficient and Effective Services to the Frail and Vulnerable in Leicestershire and Rutland,f667c9e5-4153-46f7-9595-e0ebb7cd0ea5,https://results2021.ref.ac.uk/impact/f667c9e5-4153-46f7-9595-e0ebb7cd0ea5,30,4,29,4,24,2
Healthcare workforce planning in Sri Lanka,1f66204c-cfdf-47a0-a702-e78c912727eb,https://results2021.ref.ac.uk/impact/1f66204c-cfdf-47a0-a702-e78c912727eb,30,4,35,4,28,4
Improved patient outcomes through evidence-based decisions by Scottish and global health organisations,522b4343-e552-486c-81fd-acf73fe65595,https://results2021.ref.ac.uk/impact/522b4343-e552-486c-81fd-acf73fe65595,30,4,29,4,37,3
Improving NHS operational efficiency and patient experience through modelling,1c3c3168-e148-42d6-adaa-3500d59cdd36,https://results2021.ref.ac.uk/impact/1c3c3168-e148-42d6-adaa-3500d59cdd36,30,4,29,4,31,2
Improving patient outcomes and reducing healthcare costs in the UK and Germany,fbd09732-3a74-4154-90c1-851e1ae125eb,https://results2021.ref.ac.uk/impact/fbd09732-3a74-4154-90c1-851e1ae125eb,30,4,29,4,,
Modelling the healthcare workforce to influence care standards and inform safety policy,f9463c56-b971-4ff8-ac3b-6f6194fe15a7,https://results2021.ref.ac.uk/impact/f9463c56-b971-4ff8-ac3b-6f6194fe15a7,30,4,28,4,29,3
"Novel decision support modelling to increase efficiency of healthcare provision, reduce costs and improve patient experience",850ec906-6199-44a4-9fef-8e364db8fda1,https://results2021.ref.ac.uk/impact/850ec906-6199-44a4-9fef-8e364db8fda1,30,4,29,4,34,2
Supporting and improving decision making to enhance health and care delivery within the NHS,bdc4f75d-2b57-4ba6-98f0-4f87695e11cf,https://results2021.ref.ac.uk/impact/bdc4f75d-2b57-4ba6-98f0-4f87695e11cf,30,4,31,2,9,2
Transforming emergency and urgent care services through mathematical modelling,f070682b-9ce1-425f-9b3c-6ed4e7f1f2fd,https://results2021.ref.ac.uk/impact/f070682b-9ce1-425f-9b3c-6ed4e7f1f2fd,30,4,27,3,29,3
Centile and growth curves for global health monitoring and diagnostics,5b1b4642-b8af-4897-a292-9f014ed50a6b,https://results2021.ref.ac.uk/impact/5b1b4642-b8af-4897-a292-9f014ed50a6b,30,4,37,3,102,2
"Improving medical risk communication for cancer patients, clinicians and the general public during the covid-19 pandemic",8bd51be0-4f24-4d76-9d59-b296d970d358,https://results2021.ref.ac.uk/impact/8bd51be0-4f24-4d76-9d59-b296d970d358,30,3,3,2,34,2
