,All,Panel A,Panel B,UoA4,Panel C,Panel D
Riksbankens Jubileumsfond,0.01,,,,,0.07
Carnegie Corporation of New York,0.01,,,,0.04,
Midland Neuroscience Teaching and Research Fund,0.01,0.03,,,0.02,
Thrasher Research Fund,0.01,0.05,,,,
Garfield Weston Foundation,0.01,0.03,,,0.02,
Sport Wales,0.01,,,,0.04,
Scottish Environment Protection Agency,0.01,,0.07,,,
International Centre for Tax and Development,0.01,,,,0.04,
Global Challenge Research Fund,0.01,,,,0.04,
North West Lung Centre,0.01,0.05,,,,
Chiesi Farmaceutica SpA,0.01,0.05,,,,
National Cancer Institute,0.01,0.05,,,,
Exmoor National Park Authority,0.01,,,,0.04,
Thyssen-Stiftung,0.01,,,,,0.07
Medical Research Foundation,0.01,0.05,,,,
University of Edinburgh,0.01,,,,0.04,
Committee on Climate Change,0.01,0.03,,,0.02,
The Football Association,0.01,,,,0.04,
Energy Systems Catapult,0.01,,,,0.04,
Sir Jules Thorn Charitable Trust,0.01,0.05,,0.14,,
Teledyne e2v,0.01,,0.07,,,
Great Ormond Street Hospital for Children,0.01,0.05,,0.14,,
Liverpool Clinical Commissioning Group,0.01,0.03,,,0.02,
Médecins Sans Frontières,0.01,0.03,,,0.02,
Strathmartine Trust,0.01,,,,,0.07
Paul Mellon Foundation,0.01,,,,,0.07
ViiV Healthcare,0.01,0.05,,0.14,,
Daiwa Anglo-Japanese Foundation,0.01,,,,0.02,0.04
"Royal Holloway, University of London",0.01,,,,,0.07
MAVA Fondation Pour Le Nature,0.01,,,,0.04,
Northern Ireland Human Rights Commission,0.01,,,,0.04,
HM Prison and Probation Service,0.01,0.03,,0.14,0.02,
Physiotherapy Research Foundation,0.01,0.05,,,,
Lancaster University,0.01,,,,0.02,0.04
Gateshead Council,0.01,,0.03,,0.02,
Chest Heart and Stroke Scotland,0.01,0.05,,,,
Baily Thomas Charitable Fund,0.01,0.05,,,,
University of York,0.01,0.03,,,0.02,
Ordnance Survey,0.01,,0.07,,,
National Protective Security Authority,0.01,,0.03,,0.02,
House of Commons,0.01,,,,0.04,
Foundation to Promote Open Society,0.01,,,,0.04,
European Food Safety Authority,0.01,0.05,,,,
UK Water Industry Research,0.01,0.03,0.03,,,
The Dunhill Medical Trust,0.01,0.03,0.03,0.14,,
Agilent Technologies,0.01,0.05,,,,
The Health Foundation,0.01,0.05,,0.14,,
Eurostat,0.01,,,,0.04,
Legal Education Foundation,0.01,,,,0.04,
Lions Club International,0.01,0.05,,,,
Foundation for European Progressive Studies,0.01,,,,0.04,
Recanati-Kaplan Foundation,0.01,0.03,,,,0.04
Antipode Foundation,0.01,,,,0.02,0.04
First Rail Holdings,0.01,,0.07,,,
Innovative Vector Control Consortium,0.01,0.05,,,,
Paul Mellon Centre,0.01,,,,,0.07
Henry Moore Foundation,0.01,,,,,0.07
Royal College of Midwives,0.01,0.03,,,0.02,
Huawei,0.01,,0.07,,,
Dogs Trust,0.01,0.05,,,,
Healthcare Improvement Scotland,0.01,0.03,,,0.02,
Merck Sharp & Dohme,0.01,0.05,,,,
Northumbria Safer Roads Initiative,0.01,,0.07,,,
Office of the Scottish Charity Regulator,0.01,,,,0.04,
Australian Government,0.01,,,,0.04,
Royal Canin,0.01,0.05,,,,
Alzheimer’s Society,0.01,0.05,,0.14,,
Alzheimer Scotland,0.01,0.05,,0.14,,
North West Health Care Libraries Unit,0.01,0.03,,,,0.04
Atlantic Philanthropies,0.01,0.03,,,0.02,
Jacob Blaustein Institute,0.01,,,,0.04,
Equality and Human Rights Commission Equality and Human Rights Commission,0.01,,,,0.04,
Thames Water,0.01,,0.03,,0.02,
Juvenile Diabetes Research Foundation,0.01,0.05,,0.14,,
National Health Service,0.01,0.03,,,,0.04
Football Association,0.01,,,,0.04,
Vertex Pharmaceuticals,0.01,0.05,,,,
Royal College of Nursing,0.01,0.05,,,,
International Growth Center,0.01,,,,0.04,
National Eye Research Centre,0.01,0.03,0.03,0.14,,
Fédération Equestre Internationale,0.01,0.03,,,0.02,
Harvard University,0.01,,,,,0.07
Federal Ministry for Economic Affairs and Energy,0.01,,,,,0.07
Dimbleby Cancer Care,0.01,0.05,,,,
Scottish Aquaculture Innovation Centre,0.01,,0.07,,,
Support for Science,0.01,0.05,,,,
CENSIS,0.01,,0.07,,,
BA/LT,0.01,0.03,,0.14,,0.04
Reading Borough Council,0.01,,,,,0.07
Eli Lilly,0.01,0.05,,,,
Tropical Health and Education Trust,0.01,0.05,,,,
Kidney Care UK,0.01,0.03,,,,0.04
British Renal Society,0.01,0.03,,,,0.04
Health Education North West,0.01,0.03,,,,0.04
Australian National University,0.01,,,,0.02,0.04
Samaritans Ireland,0.01,0.03,,0.14,,
Children’s Hospices Across Scotland,0.01,,,,0.02,
The Tavistock Trust for Aphasia,0.01,0.03,,,,
Health and Social Care Trust,0.01,0.03,,0.14,,
Danish Innovation Foundation,0.01,0.03,,,,
Curriculum Examinations and Assessment Association for Northern Ireland,0.01,,,,0.02,
Jeunesses Musicales International,0.01,,,,,0.04
Northumbrian Water Ltd,0.01,,,,0.02,
The Police Service of Scotland,0.01,,,,0.02,
Global Health Challenges,0.01,,,,0.02,
The Rachel Carson Centre,0.01,,,,,0.04
Dementia Services Development Trust,0.01,,,,0.02,
Paths for All,0.01,,,,0.02,
Pearson,0.01,,,,0.02,
Max Batley Award,0.01,,,,,0.04
Clovis Oncology,0.01,0.03,,,,
Bedfordshire Police,0.01,,,,0.02,
Society for Endocrinology,0.01,,,,0.02,
Ove Arup Foundation,0.01,,,,0.02,
Office on Drugs and Crime,0.01,,,,,0.04
United Nations Food and Agriculture Organisation,0.01,0.03,,,,
Rosemere Cancer Foundation,0.01,0.03,,,,
Fieldstead and Company,0.01,,,,,0.04
"Institute of Sociology, Russian Academy of Sciences, Moscow",0.01,,,,,0.04
Christian Doppler Society,0.01,,,,,0.04
Music Therapy Charity,0.01,,,,,0.04
United Nations High Commissioner for Refugees,0.01,,,,0.02,
Royal College of Obstetricians and Gynaecologists,0.01,0.03,,,,
Police Scotland,0.01,,,,0.02,
Santander Mobility Fund,0.01,,,,0.02,
Qatar University,0.01,,,,0.02,
Iberbibliotectas Grant,0.01,,,,0.02,
Ricardo-AEA,0.01,0.03,,0.14,,
Royal College of Anaesthetists and Association of Anaesthetists,0.01,0.03,,0.14,,
National Institute of Academic Anaesthesia and Obstetric Anaesthetists' Association,0.01,0.03,,0.14,,
Large-Scale Complex IT Systems Initiative,0.01,,0.03,,,
Volkswagen Stiftung,0.01,,,,,0.04
Herts Sports Partnership,0.01,,,,0.02,
SGOV  Health Directorate,0.01,0.03,,,,
"Centre for Police Research and Learning, University of Oxford",0.01,,,,0.02,
Afferent Pharmaceuticals,0.01,0.03,,,,
The Arcus Foundation,0.01,0.03,,,,
Japanese Government,0.01,,,,0.02,
Society for the Promotion of Roman Studies,0.01,,,,,0.04
Energy Technologies Institute,0.01,,,,0.02,
Department of Culture Heritage and Gaeltacht Ireland,0.01,,,,,0.04
Entertainment Industry Foundation,0.01,0.03,,,,
Prostate Cancer Foundation,0.01,0.03,,,,
Manchester United Association Football Club,0.01,0.03,,,,
United Nations Development Program,0.01,,,,0.02,
DEBRA,0.01,0.03,,,,
Deutsche Gesellschaft fur Internationale Zusammenarbeit,0.01,,,,0.02,
Swiss Department of Foreign Affairs,0.01,,,,0.02,
Plastic Energy,0.01,,0.03,,,
Department of Foreign Affairs and Trade,0.01,,,,0.02,
Arts Humanities Research Council,0.01,,,,,0.04
Cumbria Archives Service,0.01,,,,,0.04
Office of National Statistics,0.01,,,,0.02,
Ergotron,0.01,,,,0.02,
UnLtd,0.01,,,,0.02,
Scottish Government Legacy 2014,0.01,,,,,0.04
Synairgen Research,0.01,0.03,,,,
Scottish Government Active Scotland Division,0.01,,,,,0.04
Commonwealth Games Scotland,0.01,,,,,0.04
Sporting Heritage,0.01,,,,,0.04
The Colt Foundation,0.01,0.03,,,,
Care Council Wales,0.01,,,,0.02,
East Africa Research Fund,0.01,,,,0.02,
Jan Wallanders och Tom Hedelius Stiftelse,0.01,,,,,0.04
Irish Tax and Customs,0.01,,,,,0.04
British Herpetological Society,0.01,0.03,,,,
Zanzibar Films,0.01,,,,,0.04
European Association of Zoos and Aquaria,0.01,0.03,,,,
Durrell Wildlife Conservation Trust,0.01,0.03,,,,
Ocean Park Conservation Foundation,0.01,0.03,,,,
Honolulu Zoo,0.01,0.03,,,,
Irish Film Board,0.01,,,,,0.04
Weedon Foundation,0.01,0.03,,,,
Fundacao do Ciencias e Tecnologia,0.01,0.03,,,,
Marine Institute,0.01,0.03,,,,
Astellas,0.01,0.03,,,,
Joint Nature Conservation Committee,0.01,,0.03,,,
UCL Dawes Centre for Future Crime,0.01,,,,0.02,
Scottish Power Energy Network,0.01,,0.03,,,
Royal College of Surgeons in Edinburgh,0.01,0.03,,,,
Cambridge Clinical Laboratories,0.01,0.03,,,,
Lullaby Trust,0.01,,,,0.02,
Breast Cancer Campaign,0.01,0.03,,,,
I-Net,0.01,0.03,,,,
Scottish Cot Death Trust,0.01,,,,0.02,
Social Innovation Fund,0.01,,,,0.02,
Salveson Mindroom centre,0.01,0.03,,0.14,,
CP Charitable Trust,0.01,0.03,,,,
Swansea City AFC,0.01,,,,0.02,
Edinburgh University,0.01,0.03,,0.14,,
Swim Wales,0.01,,,,0.02,
Forces in Mind,0.01,0.03,,,,
Edinburgh Council,0.01,0.03,,0.14,,
CSL Behring GmbH,0.01,0.03,,,,
Marine Scotland,0.01,,0.03,,,
Li Ka Shing Foundation,0.01,0.03,,,,
Voicebase,0.01,,0.03,,,
Rank Foundation,0.01,,,,,0.04
Mexican Government,0.01,0.03,,,,
"Advisory, Conciliation and Arbitration Service",0.01,,,,0.02,
Scottish College for Educational Leadership,0.01,,,,0.02,
Argyll and Bute,0.01,,,,0.02,
Clackmannanshire Council Education Services,0.01,,,,0.02,
"Academy of Korean Studies, The",0.01,,,,,0.04
European Organization for Nuclear Research,0.01,,0.03,,,
Tell MAMA,0.01,,,,0.02,
Turing Institute,0.01,,0.03,,,
Argonne National Laboratory,0.01,0.03,,,,
ELIXIR,0.01,0.03,,,,
Yorkshire Sculpture Park,0.01,,,,,0.04
Pembrokeshire Coast National Park,0.01,,,,0.02,
Centre for Ecology and Hydrology,0.01,0.03,,,,
Norwegian Institute of Public Health,0.01,0.03,,,,
Yantai HABs Control and Ecological Restoration Technology,0.01,,,,0.02,
Hunan Zhongke Water Environment Management,0.01,,,,0.02,
"Department of the Environment, Transport and the Regions",0.01,0.03,,,,
East Lothian Council Education Services,0.01,,,,0.02,
M & W MACK,0.01,0.03,,,,
Fresca Group,0.01,0.03,,,,
International Spinal Research Trust,0.01,,,,0.02,
risQ,0.01,,0.03,,,
University of Southern California,0.01,,,,,0.04
Centre for Advanced Holocaust Research,0.01,,,,,0.04
"Foundation for the Memory of the Shoah, Paris",0.01,,,,,0.04
Moulton Charitable Foundation,0.01,0.03,,,,
Australian Attorney-General's Department,0.01,,,,0.02,
International Foundation for Research in Paraplegia,0.01,,,,0.02,
Hertfordshire Police Crime Commissioner,0.01,,,,0.02,
Stavros Niarchos Foundation,0.01,,,,,0.04
National Coordinating Centre for Research Methodology,0.01,,,,0.02,
American Kennel Club-Canine Health Foundation,0.01,0.03,,,,
King's Internal Seed Fund,0.01,,0.03,,,
Zoe Global,0.01,,0.03,,,
Kennedy Trust for Rheumatology Research,0.01,0.03,,,,
Schmidt Foundation,0.01,0.03,,,,
Structural Genomics Consortium,0.01,0.03,,,,
Chinese Academy of Medical Sciences,0.01,0.03,,,,
Advanced Material Development,0.01,,0.03,,,
Interreg France (Manche)-Angleterre,0.01,,0.03,,,
Juvenile Diabetes Research Fund,0.01,0.03,,,,
Northcott Medical Foundation,0.01,0.03,,,,
Somerset County Council,0.01,,,,0.02,
Tidal Lagoon Swansea Bay,0.01,,,,0.02,
Free Press,0.01,,,,,0.04
Korea Institute for Energy Technology Evaluation and Planning,0.01,,,,0.02,
St Chad's College (Durham University),0.01,,,,0.02,
Association of North East Councils,0.01,,,,0.02,
Institute of Local Governance,0.01,,,,0.02,
Institute of Mathematics and its Applications,0.01,,0.03,,,
National Education Union,0.01,,,,0.02,
Munich Re,0.01,,0.03,,,
"Wootton Bassett Community Area Board, Wiltshire Council",0.01,,,,0.02,
"Melksham Community Area Board , Wiltshire Council",0.01,,,,0.02,
Moog Controls,0.01,,0.03,,,
Sigma Network,0.01,,0.03,,,
Anglo-German Foundation,0.01,,,,0.02,
North West Development Agency,0.01,,,,0.02,
The Mercers’ Company,0.01,,,,,0.04
Harvard Law School,0.01,,,,0.02,
Kellogg's,0.01,0.03,,0.14,,
Qatar Foundation,0.01,,,,0.02,
Bristol Myers Squibb,0.01,0.03,,,,
American Society for Theatre Research,0.01,,,,,0.04
North American Taiwan Professors Association,0.01,,,,,0.04
"Council of Indigenous Peoples, Executive Yuan",0.01,,,,,0.04
Prince’s Countryside Fund,0.01,,,,0.02,
Japan Ministry of Internal Affairs and Communication,0.01,,,,0.02,
GORTA-Self Help Africa,0.01,,,,0.02,
British Institute for the Study of Iraq,0.01,,,,,0.04
Petroliam Nasional Berhad,0.01,,0.03,,,
Scottish Roads Research Board,0.01,,,,0.02,
Scottish Government,0.01,,,,0.02,
National Council for Curriculum and Assessment,0.01,,,,0.02,
"Clackmannanshire, Argyll and Bute, East Lothian Councils",0.01,,,,0.02,
Education Achievement Service South East Wales,0.01,,,,0.02,
Association of British Neuroscientists,0.01,0.03,,0.14,,
Guarantors of Brain,0.01,0.03,,0.14,,
Bureau Veritas,0.01,,0.03,,,
Drugs for Neglected Diseases initiative,0.01,0.03,,,,
Learn Direct,0.01,,,,0.02,
Transport Research Laboratory Ltd,0.01,,,,0.02,
"Orpheus Institute, Belgium",0.01,,,,,0.04
Railway Safety and Standards Board,0.01,,,,0.02,
Erasmus University Rotterdam,0.01,,,,0.02,
City of Bradford Metropolitan District Council,0.01,,,,0.02,
Office of Naval Research  Global,0.01,,0.03,,,
Rural and Environment Science and Analytical Services Division,0.01,,0.03,,,
KR Foundation,0.01,,0.03,,,
AURECON,0.01,,0.03,,,
TB-21 Academy,0.01,,,,,0.04
Rangiwaho Marae,0.01,,,,,0.04
Fungal Research Trust,0.01,0.03,,,,
F2G,0.01,0.03,,,,
Novartis Pharmaceuticals,0.01,0.03,,,,
Niger Delta Development Commission,0.01,0.03,,,,
SPI Lasers,0.01,,0.03,,,
Great Western Railways,0.01,,,,0.02,
Open Philanthropy,0.01,0.03,,,,
Esmée Fairbairn,0.01,,,,,0.04
Bill and Melinda Gates Foundations,0.01,0.03,,,,
Copper Development Association,0.01,0.03,,,,
Kraft Foods,0.01,0.03,,0.14,,
National Institute for Health Research (Department of Health),0.01,,,,,0.04
Low Carbon Network Fund,0.01,,,,,0.04
General Dynamics Mission Systems,0.01,,0.03,,,
Leonardo,0.01,,0.03,,,
GE Aviation,0.01,,0.03,,,
The Healthcare Improvement Studies Institute (THIS Institute),0.01,,,,,0.04
Lloyd's Register Foundation,0.01,,0.03,,,
Innovation Voucher,0.01,,0.03,,,
Torbay and South Devon NHS Foundation Trust,0.01,,,,0.02,
Foundation of National Institutes of Health,0.01,0.03,,,,
Chartered Association of Building Engineers,0.01,,,,0.02,
Klaus J. Jacobs Research Prize,0.01,,,,0.02,
Heriot Watt University,0.01,,,,,0.04
Venice Architecture Biennale,0.01,,,,,0.04
Association for the Study of Modern Italy,0.01,,,,,0.04
Space Electronic nightclub,0.01,,,,,0.04
Vitra Design Museum,0.01,,,,,0.04
West Yorkshire Police,0.01,,,,0.02,
Garden Organic,0.01,,,,0.02,
South West Academic Health Services Network,0.01,,,,0.02,
Association of Chief Police Officers,0.01,,,,0.02,
Abu Dhabi Urban Planning Council,0.01,,,,0.02,
Teach First,0.01,,,,0.02,
Marie Stopes International,0.01,,,,0.02,
"Department for Business, Energy & Industrial Strategy",0.01,,,,0.02,
Allioes Procurement Consortia,0.01,,,,0.02,
Cartefri Conwy,0.01,,,,0.02,
Equity Housing Group,0.01,,,,0.02,
Liverpool Mutual Homes,0.01,,,,0.02,
European Regional Development Fund (ERDF),0.01,,,,0.02,
Careers and Enterprise Company,0.01,,,,0.02,
Office for Low Emission Vehicles and the South Eastern England Development Agency,0.01,,,,,0.04
British Film Institute,0.01,,,,,0.04
Bertarelli Foundation,0.01,0.03,,,,
Aberdeenshire Council,0.01,,,,0.02,
Stirling Council,0.01,,,,0.02,
Aberdeen City Council,0.01,,,,0.02,
"University of Eotvos Lorand, Hungary",0.01,,,,0.02,
European Schoolnet,0.01,,,,0.02,
International Copper Association,0.01,0.03,,,,
Collaborations for Leadership in Applied Health Research and Care,0.01,0.03,,,,
Creative New Zealand,0.01,,,,,0.04
Prostate Cancer Research Foundation,0.01,0.03,,,,
The Wealth Economy,0.01,,,,0.02,
EC Research Directorate,0.01,0.03,,,,
United Kingdom Literacy Association,0.01,,,,0.02,
Carnegie UK Trust,0.01,,,,0.02,
Hong Kong Academy of Medicine,0.01,,,,,0.04
Handicap International,0.01,,,,,0.04
WRAP Cymru,0.01,,,,0.02,
Brother International Europe,0.01,,,,0.02,
Qioptiq,0.01,,,,0.02,
DSV Solutions Nederland BV,0.01,,,,0.02,
Stanford Society,0.01,,,,,0.04
Petroleo Brasileiro S.A.,0.01,,0.03,,,
Total E&P Angola,0.01,,0.03,,,
Husky Oil Operations,0.01,,0.03,,,
"Northern Ireland Department of Agriculture, Environment and Rural Affairs",0.01,0.03,,,,
Skea Eggs,0.01,0.03,,,,
Moy Park,0.01,0.03,,,,
Hans-Böckler Foundation,0.01,,,,0.02,
Association for the Advancement of Medical Instrumentation,0.01,0.03,,0.14,,
Commission for Victims & Survivors,0.01,0.03,,0.14,,
Riverbanks Zoo and Garden,0.01,0.03,,,,
Northern Ireland Centre for Trauma and Transformation,0.01,0.03,,0.14,,
Marshalls Mono,0.01,,,,0.02,
Cambridge Templeton Consortium,0.01,,,,0.02,
Joseph Roundtree Foundation,0.01,,,,0.02,
Bristol Zoological Society,0.01,0.03,,,,
Big Issue Invest,0.01,0.03,,,,
Leiden Conservation Foundation,0.01,0.03,,,,
Shark Conservation Fund,0.01,0.03,,,,
Bob Champion Cancer Trust,0.01,0.03,,,,
"Armourers and Brasiers, a Guild of the City of London",0.01,0.03,,,,
SE Trust Health Board Northern Ireland,0.01,0.03,,,,
Falck Foundation,0.01,0.03,,,,
BSC International Holdings,0.01,0.03,,,,
Swansea University Research Grant Enabler,0.01,0.03,,,,
Sarepta Therapeutics,0.01,0.03,,,,
Local Enterprise Partnership,0.01,,0.03,,,
LetterOne,0.01,,,,0.02,
Prostate Research Campaign UK,0.01,0.03,,,,
University of Auckland,0.01,,,,,0.04
Stand Up To Cancer (part of the Entertainment Industry Foundation),0.01,0.03,,,,
AKL Research & Development,0.01,0.03,,,,
Marine Conservation Biology Institute,0.01,0.03,,,,
/European Social Funds,0.01,,0.03,,,
Certis,0.01,,0.03,,,
"International Medical University, Malaysia",0.01,0.03,,,,
Horse Race Betting Levy Board,0.01,0.03,,,,
The Horse Trust,0.01,0.03,,,,
Dee District Salmon Fishery Board,0.01,0.03,,,,
Deep Sea Conservation Coalition,0.01,0.03,,,,
Nestlé,0.01,0.03,,0.14,,
Carbon Trust,0.01,,0.03,,,
Moorfields Eye Hospital Special Trustees,0.01,0.03,,0.14,,
Scottish Prison Service,0.01,,0.03,,,
Cargill,0.01,0.03,,0.14,,
Venomtech,0.01,0.03,,,,
Johnson Matthey-Davy Technologies,0.01,,0.03,,,
Cobion Purac,0.01,,0.03,,,
National Research Foundation,0.01,0.03,,,,
CODEXIS,0.01,0.03,,,,
Abu Dhabi National Oil Company,0.01,,0.03,,,
S4C,0.01,,,,0.02,
Children and Young People’s Research Network,0.01,0.03,,,,
The Alkaptonuria Society,0.01,0.03,,,,
BioMarin Pharmaceutical,0.01,0.03,,,,
Katherine Dormandy Trust,0.01,0.03,,,,
Clasado,0.01,0.03,,,,
"Department of Education, Northern Ireland",0.01,,,,0.02,
Systematics Association,0.01,0.03,,,,
Action on Hearing Loss,0.01,,,,0.02,
Standard Chartered Bank,0.01,0.03,,,,
Swansea University,0.01,,,,0.02,
ART360,0.01,,,,,0.04
British Institute at Ankara (BIAA),0.01,,,,0.02,
Museum-University Partnership Initiative,0.01,,,,0.02,
Linnean Society,0.01,0.03,,,,
CISCO,0.01,,,,,0.04
Good Things Foundation,0.01,,,,,0.04
Education Action Service South East Wales,0.01,,,,0.02,
Denplan,0.01,0.03,,,,
Small Research Grants Awards,0.01,,,,,0.04
Technicut Limited,0.01,,0.03,,,
Oil & Gas UK,0.01,0.03,,,,
MOTOR NEURONE DISEASE ASSOCIATION,0.01,0.03,,,,
Alpla,0.01,,0.03,,,
Andrew Mellon Foundation,0.01,,,,,0.04
Parasol Foundation,0.01,,,,,0.04
Subject Centre for Philosophical and Religious Studies,0.01,,,,,0.04
RSOC  Wolfson Fellowship,0.01,,0.03,,,
Investigator award,0.01,,0.03,,,
Responsive,0.01,,0.03,,,
Agouron Pfizer,0.01,,0.03,,,
Commonwealth Scholarship Commission,0.01,0.03,,,,
York Against Cancer,0.01,0.03,,,,
Broderick Bozimo and Company Law Firm,0.01,,,,0.02,
Max Planck Institute for Evolutionary Anthropology,0.01,,0.03,,,
Rothschild Foundation,0.01,,,,0.02,
Energy Technologies Institute (ETI),0.01,0.03,,,,
Royal College of Physicians,0.01,0.03,,,,
Advanced Manufacturing Research Centre with Boeing at the University of Sheffield,0.01,,0.03,,,
Welsh Parliament,0.01,,,,,0.04
Diversity Works for London,0.01,,,,0.02,
Primary Science Teaching Grant,0.01,,,,0.02,
"National Centre for the Replacement, Refinement, and Reduction of Animals in Research",0.01,0.03,,,,
GAMA,0.01,0.03,,,,
Rowsell Wright,0.01,,,,0.02,
The Highways Agency,0.01,,,,0.02,
Charter Housing Association,0.01,,,,0.02,
Healthcare Quality Improvement Programme,0.01,0.03,,,,
"Scottish Office: Agriculture, Environment and Fisheries Dept",0.01,,0.03,,,
The Netherlands Organization for Scientific Research,0.01,,,,0.02,
"The Executive Office, NI",0.01,,,,,0.04
Tommy’s Charity,0.01,0.03,,,,
Meningitis UK,0.01,0.03,,,,
United States Department of Health and Human Services,0.01,0.03,,,,
British Association of Dermatologists,0.01,0.03,,,,
British Society for Rheumatology,0.01,0.03,,,,
Lupus UK,0.01,0.03,,,,
Fédération Internationale des Associations de Footballeurs Professionnels,0.01,,,,0.02,
Cultural Grant,0.01,,,,,0.04
SFC  SFC,0.01,,,,0.02,
Highlands & Islands Enterprise,0.01,,,,0.02,
A2Dominion,0.01,,,,0.02,
Environment Canada,0.01,0.03,,,,
Wellspring Advisors,0.01,,,,0.02,
Procter and Gamble,0.01,,0.03,,,
Durham University,0.01,,0.03,,,
Bat Conservation Trust,0.01,0.03,,,,
Conservation of Arctic Flora and Fauna,0.01,0.03,,,,
Rewilding Europe,0.01,0.03,,,,
Imperial College,0.01,0.03,,,,
Esmee Fairbairn Foundation,0.01,0.03,,,,
BookTrust,0.01,,,,0.02,
Cascade Technologies,0.01,,0.03,,,
AWE Technical Outreach Programme,0.01,,0.03,,,
Rio Tinto,0.01,0.03,,,,
American Museum of Natural History,0.01,0.03,,,,
Tourism Respect,0.01,,,,0.02,
National Decommissioning Centre,0.01,,,,0.02,
PEN International,0.01,,,,0.02,
Susan G. Komen,0.01,0.03,,,,
Skills Development Scotland Co Ltd,0.01,,,,0.02,
Edinburgh and Lothian’s Health Foundation Trust and the Heart Diseases Research Fund,0.01,0.03,,,,
Rufford Foundation,0.01,0.03,,,,
Kairos WWT,0.01,,,,0.02,
Department for Trade and Industry,0.01,0.03,,,,
Gavi,0.01,0.03,,,,
Pneumo ADIP,0.01,0.03,,,,
Sheepdrove Trust Sheepdrove Trust,0.01,,,,0.02,
Bringing Hope,0.01,,,,0.02,
Public Health Northamptonshire,0.01,,,,0.02,
Conservation Foundation,0.01,,,,0.02,
Lloyds TSB,0.01,,,,0.02,
European Trade Union Committee for Education,0.01,,,,0.02,
MQ Mental Health Research,0.01,0.03,,0.14,,
Dialog Semiconducter,0.01,,0.03,,,
Haemonetics Corporation,0.01,0.03,,,,
Science and Technologies Facilities Council,0.01,,0.03,,,
"University of California, San Francisco",0.01,,,,0.02,
Worldwide Antimalarial Resistance Network,0.01,0.03,,,,
Education International,0.01,,,,0.02,
London Development Agency,0.01,,,,0.02,
Northern Rock Foundation,0.01,,,,0.02,
Society for Educational Studies,0.01,,,,0.02,
Dawe Charitable Trust,0.01,,,,0.02,
"American Water Works Association Research Foundation and Participating Utilities , EPSRC , ESRC , NERC , Defra , Yorkshire Water Services Limited",0.01,,0.03,,,
Norwegian Grants Fund for Youth Employment,0.01,,,,0.02,
Doble Power,0.01,,0.03,,,
Plum Products,0.01,,,,0.02,
Middlesborough Mind,0.01,,,,,0.04
Girlguiding UK,0.01,,,,,0.04
Dominic Scriven OBE,0.01,,,,0.02,
The Royal Economic Society,0.01,,,,0.02,
Doble Power Test Ltd,0.01,,0.03,,,
National Natural Science Foundation of China (NSFC),0.01,,,,0.02,
Chinese University of Hong Kong,0.01,,,,0.02,
Doble Engineering Trabsinor AS,0.01,,0.03,,,
Research Society for Victorian Periodials,0.01,,,,,0.04
Association for Journalism Education,0.01,,,,,0.04
Carnegie Collaborative Research Grant,0.01,,,,,0.04
Cadw,0.01,,,,0.02,
Institute for Field Research,0.01,,,,0.02,
Lloyds of London,0.01,,,,0.02,
Friends Provident,0.01,,,,0.02,
Breakthrough Breast Cancer (now Breast Cancer Now),0.01,0.03,,,,
Canadian Social Sciences and Humanities Research Council,0.01,,,,,0.04
Uppsala University,0.01,,0.03,,,
Education Achievement Service,0.01,,,,0.02,
Irish Human Rights and Equality Commission,0.01,,,,0.02,
Higher Education Policy Institute,0.01,,,,0.02,
Dental Protection,0.01,0.03,,,,
Smile-on/HealthCare Learning,0.01,0.03,,,,
Calcivis,0.01,0.03,,,,
Henry Schein,0.01,0.03,,,,
Premier,0.01,0.03,,,,
SS White,0.01,0.03,,,,
Fare Network,0.01,,,,0.02,
GD Dental,0.01,0.03,,,,
McDougall Trust,0.01,,,,0.02,
The Open Society European Policy Institute,0.01,,0.03,,,
Willis Research Network,0.01,,0.03,,,
Maungatautari Ecological Island Trust,0.01,0.03,,,,
Green Port Growth Fund,0.01,0.03,,0.14,,
Northamptonshire Enterprise,0.01,,0.03,,,
HEA,0.01,,0.03,,,
British Red Cross,0.01,,,,0.02,
Elizabeth Clark Charitable Trust,0.01,0.03,,,,
Danish Arts Council,0.01,,,,,0.04
ZKM,0.01,,,,,0.04
Australian Department of Defence,0.01,,0.03,,,
Lumex AS,0.01,,0.03,,,
Scottish Founding Council,0.01,,0.03,,,
IDEXX,0.01,0.03,,,,
Rutland County Council,0.01,,,,0.02,
Chartered Society of Physiotherapy,0.01,0.03,,,,
Nestle,0.01,0.03,,0.14,,
Danone,0.01,0.03,,0.14,,
King’s College Hospital Charitable Trust,0.01,0.03,,,,
Water New South Wales,0.01,,,,0.02,
British Geological Survey,0.01,,0.03,,,
Higher Education Innovation Fund (HEIF),0.01,,,,,0.04
"Business in the Community, NI",0.01,,,,0.02,
King’s College London,0.01,,,,,0.04
Education Endowment Fund,0.01,,,,0.02,
"National Academies of Sciences, Engineering, and Medicine",0.01,,,,,0.04
Beryl Evetts and Robert Luff Animal Welfare Trust,0.01,0.03,,,,
Health Education South London,0.01,0.03,,,,
Rescon,0.01,,0.03,,,
Geneva Global,0.01,,,,0.02,
Flora and Hewlett Foundation,0.01,,,,0.02,
Centre for Process and Innovation,0.01,,,,,0.04
Northern Way,0.01,,,,,0.04
The Data Lab,0.01,,0.03,,,
"Production Development Corporation, Chile",0.01,,,,0.02,
